,Sharpe Ratio,Max Drawdown,Avg Turnover,Final Value,Total Return,Avg Cash Weight
Buy & Hold,1.1289845416818578,-0.1598687099140004,0.0,17481.017503510557,0.7174642994700242,0.0
Markowitz,0.9050452004401532,-0.19855681486149684,0.09157340609789602,23586.08741709358,1.3172714686031552,-4.1175675060201474e-07
DMD-MPC,0.4096789682698002,-0.5461085399206194,0.49503336134796777,11804.137636755013,0.17190104802228845,5.148652495746624e-08
VAR-MPC,0.8268151157750754,-0.4272886277115283,0.49989426657347863,17807.021271790865,0.7622159972697535,0.0012658856768134608
Koopman-MPC (Best),1.0626875653998462,-0.23993856823858342,0.4976515199709513,22064.46706331581,1.1696867197855796,4.3380026153736364e-05
Koopman-MPC (Last),1.0626875653998462,-0.23993856823858342,0.4976515199709513,22064.46706331581,1.1696867197855796,4.3380026153736364e-05
